date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-08-15,0,野狐谷溜池,杵築,八坂,2.25,5978.2,Sentinel-1,ASCENDING
2026-08-15,1,申川溜池,杵築,八坂,2.06,4976.8,Sentinel-1,ASCENDING
2026-08-15,2,白水池,杵築,馬場尾,4.84,29140.1,Sentinel-1,ASCENDING
2026-08-15,3,床並溜池,山香,下,1.65,6322.0,Sentinel-1,ASCENDING
2026-08-15,12,大河内溜池南方の池,大田,白木原,0.92,1417.3,Sentinel-1,ASCENDING
2026-08-15,13,大河内溜池,大田,白木原,2.64,5917.8,Sentinel-1,ASCENDING
2026-08-15,14,黄午渕溜池,大田,永松,0.89,997.7,Sentinel-1,ASCENDING
2026-08-15,15,俣水1012付近の池,大田,俣水,1.61,1342.4,Sentinel-1,ASCENDING
2026-08-15,16,東下司溜池,杵築,南杵築,0.65,1205.0,Sentinel-1,ASCENDING
2026-08-15,17,西下司溜池,杵築,南杵築,1.3,4061.0,Sentinel-1,ASCENDING
2026-08-15,18,日指ダム,山香,日指,39.42,198184.9,Sentinel-1,ASCENDING
2026-08-15,19,日指ダム,山香,日指,12.57,42716.9,Sentinel-1,ASCENDING
2026-08-15,20,楠溜池,山香,吉野渡,7.11,32708.8,Sentinel-1,ASCENDING
2026-08-15,21,石山ダム,杵築,溝井,10.73,37468.3,Sentinel-1,ASCENDING
2026-08-15,22,尾払溜池,杵築,守江,7.07,43149.5,Sentinel-1,ASCENDING
2026-08-15,23,鍋倉ダム,杵築,守江,9.42,56056.7,Sentinel-1,ASCENDING
2026-08-15,24,糠味噌溜池,杵築,日野,1.69,199.2,Sentinel-1,ASCENDING
2026-08-15,25,弁天池,杵築,溝井,4.32,20027.6,Sentinel-1,ASCENDING
2026-08-15,26,山迫溜池,杵築,鴨川,2.08,7459.9,Sentinel-1,ASCENDING
2026-08-15,27,スネコスリ溜池,杵築,猪尾,5.54,25880.4,Sentinel-1,ASCENDING
2026-08-15,28,中ノ池溜池,杵築,溝井,0.91,233.7,Sentinel-1,ASCENDING
2026-08-15,29,立尻溜池,杵築,溝井,1.61,4497.9,Sentinel-1,ASCENDING
2026-08-15,30,本庄新池,杵築,本庄,3.53,1983.8,Sentinel-1,ASCENDING
2026-08-15,31,双子溜池,杵築,本庄,2.7,14950.7,Sentinel-1,ASCENDING
2026-08-15,32,大台溜池,杵築,本庄,5.22,26016.7,Sentinel-1,ASCENDING
2026-08-15,33,夫婦池南部,杵築,熊野,1.43,3867.1,Sentinel-1,ASCENDING
2026-08-15,34,夫婦池北部,杵築,熊野,2.44,11760.9,Sentinel-1,ASCENDING
2026-08-15,35,新宮溜池,杵築,日野,3.81,13985.5,Sentinel-1,ASCENDING
2026-08-15,43,轟溜池,杵築,船部,2.04,7437.3,Sentinel-1,ASCENDING
2026-08-15,48,申川溜池北方の池,杵築,八坂,0.49,1501.9,Sentinel-1,ASCENDING
