date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2025-01-15,0,野狐谷溜池,杵築,八坂,2.25,9743.9,Sentinel-1,DESCENDING
2025-01-15,1,申川溜池,杵築,八坂,2.06,7996.4,Sentinel-1,DESCENDING
2025-01-15,2,白水池,杵築,馬場尾,4.84,30469.7,Sentinel-1,DESCENDING
2025-01-15,3,床並溜池,山香,下,1.65,8080.2,Sentinel-1,DESCENDING
2025-01-15,12,大河内溜池南方の池,大田,白木原,0.92,2817.4,Sentinel-1,DESCENDING
2025-01-15,13,大河内溜池,大田,白木原,2.64,13612.0,Sentinel-1,DESCENDING
2025-01-15,14,黄午渕溜池,大田,永松,0.89,2604.4,Sentinel-1,DESCENDING
2025-01-15,15,俣水1012付近の池,大田,俣水,1.61,7568.8,Sentinel-1,DESCENDING
2025-01-15,16,東下司溜池,杵築,南杵築,0.65,0.0,Sentinel-1,DESCENDING
2025-01-15,17,西下司溜池,杵築,南杵築,1.3,1098.9,Sentinel-1,DESCENDING
2025-01-15,18,日指ダム,山香,日指,39.42,236060.5,Sentinel-1,DESCENDING
2025-01-15,19,日指ダム,山香,日指,12.57,62665.8,Sentinel-1,DESCENDING
2025-01-15,20,楠溜池,山香,吉野渡,7.11,15625.1,Sentinel-1,DESCENDING
2025-01-15,21,石山ダム,杵築,溝井,10.73,41766.2,Sentinel-1,DESCENDING
2025-01-15,22,尾払溜池,杵築,守江,7.07,45534.4,Sentinel-1,DESCENDING
2025-01-15,23,鍋倉ダム,杵築,守江,9.42,53423.0,Sentinel-1,DESCENDING
2025-01-15,24,糠味噌溜池,杵築,日野,1.69,4730.4,Sentinel-1,DESCENDING
2025-01-15,25,弁天池,杵築,溝井,4.32,23905.7,Sentinel-1,DESCENDING
2025-01-15,26,山迫溜池,杵築,鴨川,2.08,9098.8,Sentinel-1,DESCENDING
2025-01-15,27,スネコスリ溜池,杵築,猪尾,5.54,30166.4,Sentinel-1,DESCENDING
2025-01-15,28,中ノ池溜池,杵築,溝井,0.91,2991.6,Sentinel-1,DESCENDING
2025-01-15,29,立尻溜池,杵築,溝井,1.61,7377.1,Sentinel-1,DESCENDING
2025-01-15,30,本庄新池,杵築,本庄,3.53,16600.9,Sentinel-1,DESCENDING
2025-01-15,31,双子溜池,杵築,本庄,2.7,14538.1,Sentinel-1,DESCENDING
2025-01-15,32,大台溜池,杵築,本庄,5.22,27969.2,Sentinel-1,DESCENDING
2025-01-15,33,夫婦池南部,杵築,熊野,1.43,4929.4,Sentinel-1,DESCENDING
2025-01-15,34,夫婦池北部,杵築,熊野,2.44,12117.1,Sentinel-1,DESCENDING
2025-01-15,35,新宮溜池,杵築,日野,3.81,18287.8,Sentinel-1,DESCENDING
2025-01-15,43,轟溜池,杵築,船部,2.04,9250.2,Sentinel-1,DESCENDING
2025-01-15,48,申川溜池北方の池,杵築,八坂,0.49,1680.1,Sentinel-1,DESCENDING
