date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-05-05,0,野狐谷溜池,杵築,八坂,2.25,0.0,Sentinel-1,DESCENDING
2026-05-05,1,申川溜池,杵築,八坂,2.06,0.0,Sentinel-1,DESCENDING
2026-05-05,2,白水池,杵築,馬場尾,4.84,0.0,Sentinel-1,DESCENDING
2026-05-05,3,床並溜池,山香,下,1.65,0.0,Sentinel-1,DESCENDING
2026-05-05,12,大河内溜池南方の池,大田,白木原,0.92,0.0,Sentinel-1,DESCENDING
2026-05-05,13,大河内溜池,大田,白木原,2.64,0.0,Sentinel-1,DESCENDING
2026-05-05,14,黄午渕溜池,大田,永松,0.89,0.0,Sentinel-1,DESCENDING
2026-05-05,15,俣水1012付近の池,大田,俣水,1.61,0.0,Sentinel-1,DESCENDING
2026-05-05,16,東下司溜池,杵築,南杵築,0.65,0.0,Sentinel-1,DESCENDING
2026-05-05,17,西下司溜池,杵築,南杵築,1.3,0.0,Sentinel-1,DESCENDING
2026-05-05,18,日指ダム,山香,日指,39.42,0.0,Sentinel-1,DESCENDING
2026-05-05,19,日指ダム,山香,日指,12.57,0.0,Sentinel-1,DESCENDING
2026-05-05,20,楠溜池,山香,吉野渡,7.11,0.0,Sentinel-1,DESCENDING
2026-05-05,21,石山ダム,杵築,溝井,10.73,0.0,Sentinel-1,DESCENDING
2026-05-05,22,尾払溜池,杵築,守江,7.07,0.0,Sentinel-1,DESCENDING
2026-05-05,23,鍋倉ダム,杵築,守江,9.42,0.0,Sentinel-1,DESCENDING
2026-05-05,24,糠味噌溜池,杵築,日野,1.69,0.0,Sentinel-1,DESCENDING
2026-05-05,25,弁天池,杵築,溝井,4.32,0.0,Sentinel-1,DESCENDING
2026-05-05,26,山迫溜池,杵築,鴨川,2.08,0.0,Sentinel-1,DESCENDING
2026-05-05,27,スネコスリ溜池,杵築,猪尾,5.54,0.0,Sentinel-1,DESCENDING
2026-05-05,28,中ノ池溜池,杵築,溝井,0.91,0.0,Sentinel-1,DESCENDING
2026-05-05,29,立尻溜池,杵築,溝井,1.61,0.0,Sentinel-1,DESCENDING
2026-05-05,30,本庄新池,杵築,本庄,3.53,0.0,Sentinel-1,DESCENDING
2026-05-05,31,双子溜池,杵築,本庄,2.7,0.0,Sentinel-1,DESCENDING
2026-05-05,32,大台溜池,杵築,本庄,5.22,0.0,Sentinel-1,DESCENDING
2026-05-05,33,夫婦池南部,杵築,熊野,1.43,0.0,Sentinel-1,DESCENDING
2026-05-05,34,夫婦池北部,杵築,熊野,2.44,0.0,Sentinel-1,DESCENDING
2026-05-05,35,新宮溜池,杵築,日野,3.81,0.0,Sentinel-1,DESCENDING
2026-05-05,43,轟溜池,杵築,船部,2.04,0.0,Sentinel-1,DESCENDING
2026-05-05,48,申川溜池北方の池,杵築,八坂,0.49,0.0,Sentinel-1,DESCENDING
2026-05-05,0,野狐谷溜池,杵築,八坂,2.25,9104.0,Sentinel-1,ASCENDING
2026-05-05,1,申川溜池,杵築,八坂,2.06,6563.6,Sentinel-1,ASCENDING
2026-05-05,2,白水池,杵築,馬場尾,4.84,29786.8,Sentinel-1,ASCENDING
2026-05-05,3,床並溜池,山香,下,1.65,6105.7,Sentinel-1,ASCENDING
2026-05-05,12,大河内溜池南方の池,大田,白木原,0.92,1369.1,Sentinel-1,ASCENDING
2026-05-05,13,大河内溜池,大田,白木原,2.64,7349.4,Sentinel-1,ASCENDING
2026-05-05,14,黄午渕溜池,大田,永松,0.89,1284.9,Sentinel-1,ASCENDING
2026-05-05,15,俣水1012付近の池,大田,俣水,1.61,1081.2,Sentinel-1,ASCENDING
2026-05-05,16,東下司溜池,杵築,南杵築,0.65,1389.5,Sentinel-1,ASCENDING
2026-05-05,17,西下司溜池,杵築,南杵築,1.3,5170.7,Sentinel-1,ASCENDING
2026-05-05,18,日指ダム,山香,日指,39.42,237414.9,Sentinel-1,ASCENDING
2026-05-05,19,日指ダム,山香,日指,12.57,60037.9,Sentinel-1,ASCENDING
2026-05-05,20,楠溜池,山香,吉野渡,7.11,42350.0,Sentinel-1,ASCENDING
2026-05-05,21,石山ダム,杵築,溝井,10.73,41698.2,Sentinel-1,ASCENDING
2026-05-05,22,尾払溜池,杵築,守江,7.07,43805.5,Sentinel-1,ASCENDING
2026-05-05,23,鍋倉ダム,杵築,守江,9.42,53937.4,Sentinel-1,ASCENDING
2026-05-05,24,糠味噌溜池,杵築,日野,1.69,4666.8,Sentinel-1,ASCENDING
2026-05-05,25,弁天池,杵築,溝井,4.32,20815.2,Sentinel-1,ASCENDING
2026-05-05,26,山迫溜池,杵築,鴨川,2.08,9352.7,Sentinel-1,ASCENDING
2026-05-05,27,スネコスリ溜池,杵築,猪尾,5.54,28271.6,Sentinel-1,ASCENDING
