date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-05-22,0,野狐谷溜池,杵築,八坂,2.25,8586.9,Sentinel-1,DESCENDING
2026-05-22,1,申川溜池,杵築,八坂,2.06,5872.6,Sentinel-1,DESCENDING
2026-05-22,2,白水池,杵築,馬場尾,4.84,27951.6,Sentinel-1,DESCENDING
2026-05-22,3,床並溜池,山香,下,1.65,6878.2,Sentinel-1,DESCENDING
2026-05-22,12,大河内溜池南方の池,大田,白木原,0.92,1181.6,Sentinel-1,DESCENDING
2026-05-22,13,大河内溜池,大田,白木原,2.64,11258.1,Sentinel-1,DESCENDING
2026-05-22,14,黄午渕溜池,大田,永松,0.89,2936.7,Sentinel-1,DESCENDING
2026-05-22,15,俣水1012付近の池,大田,俣水,1.61,4990.0,Sentinel-1,DESCENDING
2026-05-22,16,東下司溜池,杵築,南杵築,0.65,1652.3,Sentinel-1,DESCENDING
2026-05-22,17,西下司溜池,杵築,南杵築,1.3,4379.0,Sentinel-1,DESCENDING
2026-05-22,18,日指ダム,山香,日指,39.42,233887.3,Sentinel-1,DESCENDING
2026-05-22,19,日指ダム,山香,日指,12.57,57266.6,Sentinel-1,DESCENDING
2026-05-22,20,楠溜池,山香,吉野渡,7.11,42647.6,Sentinel-1,DESCENDING
2026-05-22,21,石山ダム,杵築,溝井,10.73,40094.3,Sentinel-1,DESCENDING
2026-05-22,22,尾払溜池,杵築,守江,7.07,43827.4,Sentinel-1,DESCENDING
2026-05-22,23,鍋倉ダム,杵築,守江,9.42,45353.2,Sentinel-1,DESCENDING
2026-05-22,24,糠味噌溜池,杵築,日野,1.69,3071.0,Sentinel-1,DESCENDING
2026-05-22,25,弁天池,杵築,溝井,4.32,22820.4,Sentinel-1,DESCENDING
2026-05-22,26,山迫溜池,杵築,鴨川,2.08,6143.8,Sentinel-1,DESCENDING
2026-05-22,27,スネコスリ溜池,杵築,猪尾,5.54,28470.1,Sentinel-1,DESCENDING
2026-05-22,28,中ノ池溜池,杵築,溝井,0.91,2448.1,Sentinel-1,DESCENDING
2026-05-22,29,立尻溜池,杵築,溝井,1.61,6635.5,Sentinel-1,DESCENDING
2026-05-22,30,本庄新池,杵築,本庄,3.53,1481.7,Sentinel-1,DESCENDING
2026-05-22,31,双子溜池,杵築,本庄,2.7,14198.6,Sentinel-1,DESCENDING
2026-05-22,32,大台溜池,杵築,本庄,5.22,25818.2,Sentinel-1,DESCENDING
2026-05-22,33,夫婦池南部,杵築,熊野,1.43,3653.6,Sentinel-1,DESCENDING
2026-05-22,34,夫婦池北部,杵築,熊野,2.44,10135.4,Sentinel-1,DESCENDING
2026-05-22,35,新宮溜池,杵築,日野,3.81,13817.0,Sentinel-1,DESCENDING
2026-05-22,43,轟溜池,杵築,船部,2.04,7561.9,Sentinel-1,DESCENDING
2026-05-22,48,申川溜池北方の池,杵築,八坂,0.49,1237.5,Sentinel-1,DESCENDING
