date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-04-10,0,野狐谷溜池,杵築,八坂,2.25,8656.4,Sentinel-1,ASCENDING
2026-04-10,1,申川溜池,杵築,八坂,2.06,6784.0,Sentinel-1,ASCENDING
2026-04-10,2,白水池,杵築,馬場尾,4.84,27145.3,Sentinel-1,ASCENDING
2026-04-10,3,床並溜池,山香,下,1.65,4927.7,Sentinel-1,ASCENDING
2026-04-10,12,大河内溜池南方の池,大田,白木原,0.92,1245.2,Sentinel-1,ASCENDING
2026-04-10,13,大河内溜池,大田,白木原,2.64,5639.0,Sentinel-1,ASCENDING
2026-04-10,14,黄午渕溜池,大田,永松,0.89,979.8,Sentinel-1,ASCENDING
2026-04-10,15,俣水1012付近の池,大田,俣水,1.61,914.8,Sentinel-1,ASCENDING
2026-04-10,16,東下司溜池,杵築,南杵築,0.65,1570.0,Sentinel-1,ASCENDING
2026-04-10,17,西下司溜池,杵築,南杵築,1.3,3390.8,Sentinel-1,ASCENDING
2026-04-10,18,日指ダム,山香,日指,39.42,220377.2,Sentinel-1,ASCENDING
2026-04-10,19,日指ダム,山香,日指,12.57,55675.6,Sentinel-1,ASCENDING
2026-04-10,20,楠溜池,山香,吉野渡,7.11,38815.7,Sentinel-1,ASCENDING
2026-04-10,21,石山ダム,杵築,溝井,10.73,34960.5,Sentinel-1,ASCENDING
2026-04-10,22,尾払溜池,杵築,守江,7.07,37912.4,Sentinel-1,ASCENDING
2026-04-10,23,鍋倉ダム,杵築,守江,9.42,47158.7,Sentinel-1,ASCENDING
2026-04-10,24,糠味噌溜池,杵築,日野,1.69,3272.1,Sentinel-1,ASCENDING
2026-04-10,25,弁天池,杵築,溝井,4.32,17079.7,Sentinel-1,ASCENDING
2026-04-10,26,山迫溜池,杵築,鴨川,2.08,9293.3,Sentinel-1,ASCENDING
2026-04-10,27,スネコスリ溜池,杵築,猪尾,5.54,26286.9,Sentinel-1,ASCENDING
2026-04-10,28,中ノ池溜池,杵築,溝井,0.91,254.6,Sentinel-1,ASCENDING
2026-04-10,29,立尻溜池,杵築,溝井,1.61,5044.0,Sentinel-1,ASCENDING
2026-04-10,30,本庄新池,杵築,本庄,3.53,4117.7,Sentinel-1,ASCENDING
2026-04-10,31,双子溜池,杵築,本庄,2.7,14750.3,Sentinel-1,ASCENDING
2026-04-10,32,大台溜池,杵築,本庄,5.22,24947.3,Sentinel-1,ASCENDING
2026-04-10,33,夫婦池南部,杵築,熊野,1.43,3729.7,Sentinel-1,ASCENDING
2026-04-10,34,夫婦池北部,杵築,熊野,2.44,11829.1,Sentinel-1,ASCENDING
2026-04-10,35,新宮溜池,杵築,日野,3.81,10571.3,Sentinel-1,ASCENDING
2026-04-10,43,轟溜池,杵築,船部,2.04,5678.2,Sentinel-1,ASCENDING
2026-04-10,48,申川溜池北方の池,杵築,八坂,0.49,1694.4,Sentinel-1,ASCENDING
