date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-04-22,0,野狐谷溜池,杵築,八坂,2.25,7939.9,Sentinel-1,ASCENDING
2026-04-22,1,申川溜池,杵築,八坂,2.06,7938.3,Sentinel-1,ASCENDING
2026-04-22,2,白水池,杵築,馬場尾,4.84,29566.1,Sentinel-1,ASCENDING
2026-04-22,3,床並溜池,山香,下,1.65,3826.5,Sentinel-1,ASCENDING
2026-04-22,12,大河内溜池南方の池,大田,白木原,0.92,1139.2,Sentinel-1,ASCENDING
2026-04-22,13,大河内溜池,大田,白木原,2.64,7907.5,Sentinel-1,ASCENDING
2026-04-22,14,黄午渕溜池,大田,永松,0.89,997.7,Sentinel-1,ASCENDING
2026-04-22,15,俣水1012付近の池,大田,俣水,1.61,831.7,Sentinel-1,ASCENDING
2026-04-22,16,東下司溜池,杵築,南杵築,0.65,1959.5,Sentinel-1,ASCENDING
2026-04-22,17,西下司溜池,杵築,南杵築,1.3,4747.9,Sentinel-1,ASCENDING
2026-04-22,18,日指ダム,山香,日指,39.42,234240.3,Sentinel-1,ASCENDING
2026-04-22,19,日指ダム,山香,日指,12.57,61847.2,Sentinel-1,ASCENDING
2026-04-22,20,楠溜池,山香,吉野渡,7.11,42521.7,Sentinel-1,ASCENDING
2026-04-22,21,石山ダム,杵築,溝井,10.73,38812.9,Sentinel-1,ASCENDING
2026-04-22,22,尾払溜池,杵築,守江,7.07,43599.9,Sentinel-1,ASCENDING
2026-04-22,23,鍋倉ダム,杵築,守江,9.42,50243.1,Sentinel-1,ASCENDING
2026-04-22,24,糠味噌溜池,杵築,日野,1.69,4023.8,Sentinel-1,ASCENDING
2026-04-22,25,弁天池,杵築,溝井,4.32,19202.7,Sentinel-1,ASCENDING
2026-04-22,26,山迫溜池,杵築,鴨川,2.08,10170.1,Sentinel-1,ASCENDING
2026-04-22,27,スネコスリ溜池,杵築,猪尾,5.54,28367.9,Sentinel-1,ASCENDING
2026-04-22,28,中ノ池溜池,杵築,溝井,0.91,758.6,Sentinel-1,ASCENDING
2026-04-22,29,立尻溜池,杵築,溝井,1.61,4594.5,Sentinel-1,ASCENDING
2026-04-22,30,本庄新池,杵築,本庄,3.53,4310.9,Sentinel-1,ASCENDING
2026-04-22,31,双子溜池,杵築,本庄,2.7,14667.1,Sentinel-1,ASCENDING
2026-04-22,32,大台溜池,杵築,本庄,5.22,25773.2,Sentinel-1,ASCENDING
2026-04-22,33,夫婦池南部,杵築,熊野,1.43,4231.5,Sentinel-1,ASCENDING
2026-04-22,34,夫婦池北部,杵築,熊野,2.44,11694.6,Sentinel-1,ASCENDING
2026-04-22,35,新宮溜池,杵築,日野,3.81,13109.3,Sentinel-1,ASCENDING
2026-04-22,43,轟溜池,杵築,船部,2.04,7376.2,Sentinel-1,ASCENDING
2026-04-22,48,申川溜池北方の池,杵築,八坂,0.49,1624.3,Sentinel-1,ASCENDING
