date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-06-27,0,野狐谷溜池,杵築,八坂,2.25,7730.6,Sentinel-1,DESCENDING
2026-06-27,1,申川溜池,杵築,八坂,2.06,6665.8,Sentinel-1,DESCENDING
2026-06-27,2,白水池,杵築,馬場尾,4.84,27347.0,Sentinel-1,DESCENDING
2026-06-27,3,床並溜池,山香,下,1.65,7379.5,Sentinel-1,DESCENDING
2026-06-27,12,大河内溜池南方の池,大田,白木原,0.92,1549.1,Sentinel-1,DESCENDING
2026-06-27,13,大河内溜池,大田,白木原,2.64,10443.0,Sentinel-1,DESCENDING
2026-06-27,14,黄午渕溜池,大田,永松,0.89,2822.6,Sentinel-1,DESCENDING
2026-06-27,15,俣水1012付近の池,大田,俣水,1.61,3638.8,Sentinel-1,DESCENDING
2026-06-27,16,東下司溜池,杵築,南杵築,0.65,1234.7,Sentinel-1,DESCENDING
2026-06-27,17,西下司溜池,杵築,南杵築,1.3,4365.9,Sentinel-1,DESCENDING
2026-06-27,18,日指ダム,山香,日指,39.42,227920.3,Sentinel-1,DESCENDING
2026-06-27,19,日指ダム,山香,日指,12.57,55905.1,Sentinel-1,DESCENDING
2026-06-27,20,楠溜池,山香,吉野渡,7.11,41492.7,Sentinel-1,DESCENDING
2026-06-27,21,石山ダム,杵築,溝井,10.73,39849.2,Sentinel-1,DESCENDING
2026-06-27,22,尾払溜池,杵築,守江,7.07,43339.4,Sentinel-1,DESCENDING
2026-06-27,23,鍋倉ダム,杵築,守江,9.42,53848.6,Sentinel-1,DESCENDING
2026-06-27,24,糠味噌溜池,杵築,日野,1.69,270.4,Sentinel-1,DESCENDING
2026-06-27,25,弁天池,杵築,溝井,4.32,23573.1,Sentinel-1,DESCENDING
2026-06-27,26,山迫溜池,杵築,鴨川,2.08,5718.8,Sentinel-1,DESCENDING
2026-06-27,27,スネコスリ溜池,杵築,猪尾,5.54,28524.3,Sentinel-1,DESCENDING
2026-06-27,28,中ノ池溜池,杵築,溝井,0.91,1677.5,Sentinel-1,DESCENDING
2026-06-27,29,立尻溜池,杵築,溝井,1.61,6229.5,Sentinel-1,DESCENDING
2026-06-27,30,本庄新池,杵築,本庄,3.53,14204.6,Sentinel-1,DESCENDING
2026-06-27,31,双子溜池,杵築,本庄,2.7,14312.5,Sentinel-1,DESCENDING
2026-06-27,32,大台溜池,杵築,本庄,5.22,25463.0,Sentinel-1,DESCENDING
2026-06-27,33,夫婦池南部,杵築,熊野,1.43,3351.5,Sentinel-1,DESCENDING
2026-06-27,34,夫婦池北部,杵築,熊野,2.44,10848.9,Sentinel-1,DESCENDING
2026-06-27,35,新宮溜池,杵築,日野,3.81,17168.4,Sentinel-1,DESCENDING
2026-06-27,43,轟溜池,杵築,船部,2.04,6646.5,Sentinel-1,DESCENDING
2026-06-27,48,申川溜池北方の池,杵築,八坂,0.49,1284.1,Sentinel-1,DESCENDING
